,StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location,District,Latitude,Longitude
0,sos6,Teochew Hai Gang Fish Soup 潮州海港鱼汤 (Toa Payoh),Asian,4.0,1,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
1,cc4y,Homtang Thai (Balestier Road),Thai,4.9,9,Singapore,Balestier Road Singapore,12.0,1.3181005488832067,103.85551719932096
2,sh3w,Xin Mei Xiang Zheng Zong Lor Mee 新美香正宗卤面 (Balestier),Noodles,4.4,100,Singapore,Balestier Singapore,12.0,1.326226,103.8473149
3,ih76,Soon Huat BBQ Seafood (Lorong 4 Toa Payoh),Seafood,4.3,100,Singapore,Lorong 4 Toa Payoh Singapore,12.0,1.339295192615857,103.85071816418802
4,yrj9,BaliNice Mala Hotpot 八里香麻辣香锅 (Lorong 1 Toa Payoh),Snacks,4.2,89,Singapore,Lorong 1 Toa Payoh Singapore,12.0,1.3364166394955617,103.84349895384877
5,s1jq,Shi Kou Seafood (Balestier Road),Chinese,4.3,500,Singapore,Balestier Road Singapore,12.0,1.3181005488832067,103.85551719932096
6,c8dk,Tea Apothecary (Toa Payoh View),Bubble Tea,4.7,100,Singapore,Toa Payoh View Singapore,12.0,1.3388134,103.84520184917032
7,x7gm,Xiao Lao Ban Xiang Guo 小老板香锅 (Balestier Road),Curry,4.1,100,Singapore,Balestier Road Singapore,12.0,1.3181005488832067,103.85551719932096
8,x2ku,Thai Tai 泰太 (Former Noodle ThaiThai),Thai,4.7,3000,Singapore,Former Noodle ThaiThai Singapore,,,
9,h6sj,Fire Rice (125 Toa Payoh Lorong),Fried Rice,4.9,13,Singapore,125 Toa Payoh Lorong Singapore,12.0,1.3375453,103.84570661006799
10,x6te,Lechon Republic (Novena Regency),Filipino,4.7,1000,Singapore,Novena Regency Singapore,11.0,1.3210796,103.84162625601599
11,ogb9,Naowarat Thai Cuisine (Monville Mansion),Thai,4.1,20,Singapore,Monville Mansion Singapore,,,
12,vclh,Niche Savoureuse (Lorong 1 Toa Payoh),Western,4.0,1,Singapore,Lorong 1 Toa Payoh Singapore,12.0,1.3364166394955617,103.84349895384877
13,x8aj,Full Feast Seafood (Johnson Eatery),Seafood,4.5,100,Singapore,Johnson Eatery Singapore,,1.3381097,103.8458437
14,q1pd,Lam's Noodle & Salt Baked Chicken  (Koufu 500 TPY),Noodles,4.6,500,Singapore,Koufu 500 TPY Singapore,,,
15,yvv4,Western Boy Classic (Koufu @ HDB Hub),Pasta,4.5,100,Singapore,Koufu @ HDB Hub Singapore,,,
16,x9qd,Eday Western (Lorong 1 Toa Payoh),Western,4.5,500,Singapore,Lorong 1 Toa Payoh Singapore,12.0,1.3364166394955617,103.84349895384877
17,ivi3,Meet Noodles (Toa Payoh),Chinese,4.8,29,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
18,bj6v,Zhenwei ZiChar (126 Lor 1 Toa Payoh),Asian,4.3,43,Singapore,126 Lor 1 Toa Payoh Singapore,12.0,,
19,sue4,Haituhotpot (520 Balestier Road),Chinese,4.0,1,Singapore,520 Balestier Road Singapore,12.0,1.3268791,103.84591460824433
20,phu9,一人饭 1Pax Bowl (558 Balestier),Chinese,3.8,21,Singapore,558 Balestier Singapore,12.0,1.3267899,103.84490831785921
21,ij4n,4Fingers Crispy Chicken (Balestier),Fried Chicken,4.6,1000,Singapore,Balestier Singapore,12.0,1.326226,103.8473149
22,dvvf,Pontian Wanton Noodle X Nanyang Noodle House (Lorong 1 Toa Payoh),Chinese,4.6,100,Singapore,Lorong 1 Toa Payoh Singapore,12.0,1.3364166394955617,103.84349895384877
23,k95g,Sing Swee Kee Chicken Rice (Toa Payoh),Chicken,4.2,100,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
24,tu6w,Whampoa Keng Fish Head Steamboat Restaurant (Balestier Road) - Islandwide Delivery,Chinese,4.9,5,Singapore,Balestier Road Singapore,12.0,1.3181005488832067,103.85551719932096
25,x4rx,Hua Zai Frog Porridge & BBQ Seafood (Toa Payoh),Porridge,4.4,1000,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
26,a3i1,Balestier Seafood 马来西亚风味 (Balestier Road),Malaysian,4.5,100,Singapore,Balestier Road Singapore,12.0,1.3181005488832067,103.85551719932096
27,vhj8,ARIFF'S CURRY - INDIAN FOOD PRATA CURRY HOUSE (381 Toa Payoh),Indian,4.1,67,Singapore,381 Toa Payoh Singapore,12.0,1.3402949999999998,103.8451214325592
28,zjhr,The Ritual (Bukit Timah Road) - Islandwide Delivery,Beverages,5.0,4,Singapore,Bukit Timah Road Singapore,10.0,1.3322848500000002,103.79346285
29,rka8,NIU HONGHONG RESTAURANT  牛哄哄食堂 (Toa Payoh),Chinese,5.0,3,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
30,qnii,Nana's Açaí (Toa Payoh Lorong 2),Dessert,4.9,100,Singapore,Toa Payoh Lorong 2 Singapore,12.0,1.3325257499999998,103.84738647593639
31,x5xw,Mr YouTiao Café & Meals (Square 2),Porridge,4.3,500,Singapore,Square 2 Singapore,,1.3206362,103.84418667335355
32,v6zw,Viet Thai Cuisine (Toa Payoh),Asian,4.2,500,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
33,y3ab,Ichiban Bento (Toa Payoh Hub),Japanese,4.7,500,Singapore,Toa Payoh Hub Singapore,12.0,1.3427461,103.85248926599107
34,q4fg,Indulge Teppanyaki & Grill House (31 Ah Hood Rd),Japanese,4.6,1000,Singapore,31 Ah Hood Rd Singapore,,1.32888615,103.84898475745942
35,v2qy,Celine's Gelato (Novena Regency),Dessert,4.5,17,Singapore,Novena Regency Singapore,11.0,1.3210796,103.84162625601599
36,ubqd,Mangiano By CC (Novena Regency),Italian,3.7,12,Singapore,Novena Regency Singapore,11.0,1.3210796,103.84162625601599
37,am3a,Al Hadheerah Express (Hdb Hub),Indian,4.6,74,Singapore,Hdb Hub Singapore,,1.3317686,103.848557
38,cy86,Rosdee Thai (Toa Payoh),Thai,4.3,25,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
39,y1sg,Hua Fong Kee Roasted Duck (116 Toa Payoh Lorong 2),Singaporean,4.6,100,Singapore,116 Toa Payoh Lorong 2 Singapore,12.0,1.33676695,103.84650539098374
40,y7dr,Kai Le Korean Cuisine (Toa Payoh),Japanese,4.7,55,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
41,okb0,Hong Fan Tian Mala Xiang Guo (Toa Payoh Lorong 6) - Islandwide Delivery,Chinese,5.0,2,Singapore,Toa Payoh Lorong 6 Singapore,12.0,1.33839955,103.85157186044839
42,uhtw,OTOU-SAN HOKKAIDO DONBURI (Zhongshan Mall),Japanese,4.5,100,Singapore,Zhongshan Mall Singapore,,1.3272079,103.8464351
43,yinw,WIKEDO WESTERN FOOD (KOUFU HDB HUB),Western,4.4,16,Singapore,KOUFU HDB HUB Singapore,,,
44,pm70,Braddell H.K. Pastries (109 Lorong 1 Toa Payoh),Cakes,4.6,100,Singapore,109 Lorong 1 Toa Payoh Singapore,12.0,1.3412219,103.84635374505879
45,x4oe,Stackz (Zhongshan Mall),Western,4.4,100,Singapore,Zhongshan Mall Singapore,,1.3272079,103.8464351
46,pgmh,ThaiTai 泰太 X brand (20 Ah Hood Rd),Asian,3.0,20,Singapore,20 Ah Hood Rd Singapore,,1.32715435,103.84649169569519
47,d3az,21 on Rajah (Aloft Singapore Novena),Mediterranean,4.4,27,Singapore,Aloft Singapore Novena Singapore,11.0,1.3269777,103.8473659
